floors,rooms_per_floor,location,quality,cost
4.0,4.0,2,1,214949.27
6.0,3.0,0,2,228266.06
8.0,3.0,1,0,172150.81
8.0,11.0,0,1,757101.61
2.0,7.0,0,1,121115.64
6.0,3.0,2,0,186213.3
2.0,7.0,1,0,137145.01
6.0,10.0,1,0,476023.18
3.0,9.0,0,0,158733.06
2.0,6.0,0,2,142900.03
1.0,11.0,2,1,148867.25
6.0,7.0,1,0,313863.79
6.0,5.0,2,1,403713.92
5.0,12.0,2,1,801828.11
9.0,10.0,2,2,1651220.64
8.0,8.0,2,2,1195713.38
7.0,3.0,2,2,397808.51
2.0,8.0,1,2,219370.46
8.0,4.0,0,2,360127.44
8.0,11.0,1,1,971053.51
5.0,9.0,1,2,702787.51
2.0,10.0,1,0,135465.98
8.0,6.0,2,0,486524.67
3.0,3.0,0,2,116283.47
2.0,5.0,1,2,149654.43
1.0,3.0,1,0,24410.56
6.0,7.0,1,1,502299.82
2.0,10.0,0,1,185340.27
6.0,2.0,1,0,94434.28
1.0,10.0,2,0,113711.73
8.0,3.0,0,0,127241.11
9.0,2.0,0,2,220907.65
2.0,10.0,0,1,191373.85
4.0,6.0,2,0,261713.57
9.0,3.0,2,1,419362.85
6.0,9.0,2,2,1174049.84
2.0,14.0,0,2,356365.6
7.0,12.0,2,1,1170500.05
1.0,9.0,1,2,140394.84
8.0,8.0,1,2,826847.52
6.0,9.0,2,1,777328.21
6.0,13.0,1,0,653657.01
2.0,11.0,2,0,216415.92
5.0,6.0,0,2,394821.8
7.0,3.0,0,1,194268.27
9.0,14.0,2,0,1440764.83
1.0,4.0,1,1,41236.31
1.0,13.0,0,0,76778.96
6.0,4.0,0,2,273947.07
3.0,3.0,2,0,91257.09
7.0,3.0,2,1,291740.12
2.0,9.0,0,1,157152.37
7.0,11.0,2,2,1696410.93
2.0,12.0,1,1,257676.2
1.0,11.0,2,2,213968.24
3.0,2.0,1,2,78406.88
8.0,11.0,2,1,1193371.99
6.0,14.0,1,0,619974.45
6.0,9.0,0,0,332202.5
9.0,8.0,2,2,1336026.23
9.0,7.0,0,0,437433.08
8.0,2.0,1,1,156652.89
6.0,5.0,0,1,262273.58
5.0,5.0,2,0,247161.61
8.0,12.0,2,1,1332327.46
2.0,2.0,1,2,55142.65
7.0,10.0,0,1,631969.02
9.0,13.0,0,2,1415236.77
