area_sqft,coats,location,quality,cost
2598.7838541010456,1,1,2,107741.85
8667.899451484784,2,2,0,384556.22
7523.771999724337,2,2,2,848249.99
8773.735511315985,3,1,1,692922.45
781.1874707080839,3,1,0,40130.65
8698.331779384887,2,0,1,366030.33
5379.484987772736,2,1,2,466912.8
5942.524332115462,2,2,2,611214.95
7134.311809470033,3,1,2,814797.97
8888.386168816314,1,2,1,299719.09
5112.615359733774,3,2,0,343707.39
9519.124163026541,1,0,1,216287.17
4321.1676714688765,1,2,1,124725.3
4674.696940381652,1,1,2,186900.29
4917.742484022142,1,2,1,166042.34
7110.330850828705,1,0,2,214510.33
2615.358150379951,2,1,1,119901.75
1674.886963648372,1,1,0,26680.62
1471.4777115118434,2,2,1,98008.14
1298.299644293583,1,0,0,17940.7
4916.17353750853,2,1,0,166585.09
7962.904683410814,2,2,2,789245.49
8859.637144493858,1,2,0,192401.49
2233.9231036352853,3,0,1,136495.92
9383.227204272158,3,1,0,526731.72
5814.9866436422635,3,0,1,348663.51
328.1784237626516,3,1,1,24926.98
4712.540688005022,2,1,2,361714.14
1195.4888293916247,3,0,2,109845.92
6516.788759341218,1,1,1,167918.65
5080.203948671028,1,0,2,173666.95
6005.4629663021515,3,1,0,289180.12
5114.872041739449,2,1,2,417712.46
7276.959058769532,1,1,1,202517.23
7641.281906752316,2,0,2,464406.38
1766.296502507545,2,2,1,124557.46
7367.233440815734,2,0,2,424804.49
6970.966754984791,3,1,2,863572.22
6204.3149225331035,3,2,0,431921.65
486.8562413810825,1,2,2,27555.98
3380.900859776264,1,1,2,145572.2
6281.056804416334,1,2,1,201216.09
5080.7233393273245,1,0,0,65784.87
3959.2087104482525,3,0,2,359512.65
6092.104721684117,1,0,0,78794.32
5505.1145223496,2,0,2,342620.42
197.89911607788227,1,0,2,5928.04
8435.42281397828,1,1,1,222131.41
1712.386272353995,1,1,2,69165.78
5309.689063314862,2,0,0,168168.43
7413.977739680101,1,0,2,234173.24
8600.960716957252,3,2,0,628573.76
802.2541199384023,1,2,0,18982.52
7573.513597957577,2,2,2,821099.69
9969.155958167148,2,1,0,370416.21
2607.6061930892547,3,2,1,260839.87
241.36988636255694,1,1,2,9853.29
4600.412427938327,3,2,0,317573.22
