floors,bathrooms,kitchens,location,quality,cost
3.0,6.0,4.0,1,2,915337.14
6.0,6.0,4.0,0,2,1380191.39
1.0,4.0,1.0,2,1,215640.58
1.0,5.0,3.0,2,2,450915.64
7.0,1.0,4.0,2,1,434769.29
5.0,6.0,1.0,1,2,1303659.6
8.0,1.0,3.0,0,0,228411.18
3.0,2.0,1.0,2,0,196443.52
5.0,7.0,1.0,1,0,754409.04
1.0,1.0,2.0,1,0,55945.51
8.0,1.0,2.0,1,0,241523.61
9.0,7.0,4.0,2,1,3208055.66
5.0,3.0,4.0,2,1,836621.16
6.0,2.0,2.0,1,0,363625.35
4.0,5.0,2.0,2,0,682704.82
1.0,5.0,4.0,0,0,161520.81
8.0,2.0,2.0,1,2,739644.44
2.0,2.0,3.0,0,2,228110.3
9.0,1.0,1.0,1,0,209269.62
5.0,7.0,1.0,2,2,2100597.59
5.0,4.0,1.0,2,2,1365778.11
7.0,7.0,2.0,0,1,1359552.32
5.0,1.0,4.0,0,2,289254.16
9.0,3.0,3.0,1,2,1223763.55
7.0,3.0,4.0,1,1,862261.58
6.0,2.0,1.0,1,1,492378.39
6.0,3.0,3.0,0,2,723573.56
6.0,2.0,1.0,0,1,361118.27
4.0,3.0,3.0,0,1,449142.85
5.0,6.0,3.0,2,0,1061441.84
1.0,5.0,2.0,2,2,380489.39
2.0,7.0,2.0,0,1,483231.83
7.0,4.0,1.0,1,1,943799.06
9.0,6.0,4.0,0,1,1489367.41
6.0,5.0,3.0,0,0,721425.32
9.0,1.0,2.0,0,2,321340.29
1.0,3.0,3.0,1,1,164632.0
9.0,1.0,4.0,1,0,275745.85
9.0,3.0,1.0,0,2,1064183.94
8.0,3.0,2.0,1,0,727406.41
5.0,1.0,1.0,1,2,295955.58
9.0,4.0,1.0,2,2,2044530.0
3.0,3.0,3.0,0,2,402897.62
8.0,3.0,3.0,0,2,937652.75
6.0,4.0,1.0,1,0,666566.11
7.0,7.0,4.0,0,1,1284630.9
4.0,3.0,1.0,2,2,662985.52
4.0,2.0,2.0,2,2,673030.35
6.0,6.0,2.0,1,0,899762.81
9.0,7.0,3.0,0,2,2099194.4
1.0,7.0,2.0,2,1,358490.65
7.0,6.0,3.0,0,1,1285525.3
8.0,7.0,3.0,1,0,1391907.6
9.0,7.0,3.0,0,2,2356687.94
9.0,5.0,1.0,1,0,1055027.81
6.0,4.0,4.0,1,0,755245.81
7.0,7.0,1.0,0,1,1148586.59
4.0,3.0,2.0,0,2,464017.05
1.0,2.0,1.0,0,1,77996.02
9.0,7.0,4.0,2,1,3327709.9
5.0,7.0,3.0,2,1,1604114.54
5.0,5.0,4.0,2,2,1783573.34
6.0,2.0,1.0,0,0,275526.8
1.0,6.0,3.0,0,2,299892.78
5.0,1.0,1.0,0,2,196166.94
4.0,4.0,1.0,2,2,931861.01
4.0,1.0,1.0,0,0,87506.4
5.0,2.0,4.0,2,0,406765.51
4.0,4.0,3.0,1,0,469109.31
7.0,3.0,1.0,0,1,677056.17
1.0,6.0,3.0,0,2,298180.92
5.0,1.0,3.0,2,0,259395.12
2.0,6.0,2.0,0,1,343529.02
7.0,2.0,4.0,2,0,544986.6
8.0,4.0,4.0,1,2,1467512.26
8.0,5.0,3.0,1,0,986930.59
9.0,5.0,2.0,1,0,1320891.86
3.0,5.0,4.0,2,1,841726.84
4.0,4.0,3.0,1,2,734322.41
4.0,3.0,3.0,1,1,470342.6
3.0,3.0,1.0,0,0,205268.84
2.0,4.0,3.0,1,0,214550.0
6.0,3.0,4.0,2,2,1147289.66
1.0,6.0,4.0,2,2,525192.5
9.0,3.0,3.0,2,2,1754644.46
4.0,4.0,3.0,0,1,564040.47
3.0,7.0,3.0,0,0,551681.5
9.0,7.0,3.0,2,1,2678810.69
9.0,5.0,3.0,2,0,1555766.69
9.0,3.0,4.0,0,0,614477.17
3.0,4.0,2.0,1,1,475400.75
9.0,5.0,2.0,2,2,2526713.9
4.0,6.0,1.0,1,1,839260.83
6.0,6.0,4.0,0,0,742525.52
3.0,4.0,1.0,0,1,336466.19
6.0,5.0,4.0,1,2,1406316.72
6.0,2.0,1.0,2,1,535462.79
5.0,2.0,3.0,0,0,225471.9
7.0,1.0,4.0,0,0,209656.01
2.0,6.0,2.0,2,2,725838.11
9.0,1.0,1.0,2,1,440097.73
1.0,3.0,2.0,2,0,149440.39
9.0,7.0,2.0,2,1,3026670.28
1.0,4.0,4.0,1,2,257545.82
7.0,7.0,2.0,1,2,2028849.83
1.0,1.0,3.0,0,1,84620.23
8.0,3.0,3.0,0,2,839918.86
5.0,1.0,1.0,2,1,258066.84
9.0,1.0,2.0,1,1,395473.33
5.0,4.0,2.0,1,0,545541.73
7.0,7.0,4.0,2,1,1891152.51
8.0,7.0,1.0,2,2,3250588.99
2.0,3.0,2.0,2,1,378020.29
4.0,3.0,4.0,2,2,754948.04
6.0,4.0,2.0,2,2,1495168.28
2.0,5.0,4.0,1,2,530156.29
5.0,2.0,1.0,1,1,410591.53
2.0,4.0,2.0,0,1,290636.94
6.0,2.0,2.0,0,0,260912.76
2.0,6.0,3.0,0,2,546440.89
8.0,4.0,2.0,1,0,834699.62
8.0,3.0,2.0,0,0,508647.99
9.0,7.0,2.0,0,1,1810345.59
9.0,5.0,1.0,0,0,1012076.29
5.0,2.0,2.0,1,0,295715.77
4.0,3.0,2.0,1,1,421554.4
1.0,4.0,4.0,1,1,232837.44
9.0,3.0,4.0,2,2,1739651.7
3.0,5.0,3.0,0,1,467529.03
8.0,3.0,4.0,0,0,525984.81
2.0,2.0,3.0,1,2,251375.53
9.0,4.0,3.0,2,2,2052204.96
1.0,5.0,3.0,1,2,339464.09
3.0,2.0,4.0,2,2,543150.29
6.0,4.0,2.0,0,1,709478.0
7.0,3.0,3.0,1,0,612520.37
3.0,3.0,3.0,0,1,286513.58
5.0,6.0,3.0,1,0,871312.31
9.0,4.0,2.0,1,0,1000307.83
6.0,4.0,4.0,2,1,1185330.05
1.0,6.0,2.0,0,0,143171.69
2.0,4.0,3.0,1,0,248290.85
4.0,1.0,1.0,2,1,191357.99
4.0,3.0,2.0,0,2,475799.09
6.0,5.0,4.0,0,0,703013.68
9.0,4.0,3.0,0,2,1210750.92
4.0,6.0,4.0,0,2,943950.21
3.0,2.0,1.0,1,2,285072.31
6.0,2.0,2.0,2,0,429528.85
2.0,6.0,3.0,0,1,362506.37
5.0,3.0,1.0,2,0,546935.42
5.0,6.0,1.0,0,2,1101212.12
3.0,2.0,3.0,2,1,371851.53
5.0,2.0,2.0,0,0,241781.1
6.0,4.0,4.0,1,0,776525.02
3.0,7.0,2.0,0,1,564124.68
8.0,3.0,1.0,2,2,1406837.94
3.0,5.0,1.0,2,0,576253.59
6.0,5.0,3.0,2,2,2160325.34
9.0,5.0,3.0,1,0,980026.4
4.0,2.0,2.0,2,0,344043.59
2.0,6.0,1.0,2,0,366542.98
4.0,3.0,2.0,1,0,340116.15
2.0,1.0,2.0,0,1,104066.39
8.0,7.0,3.0,0,0,1030828.05
9.0,6.0,1.0,0,1,1733517.78
8.0,2.0,2.0,1,2,868710.97
8.0,1.0,1.0,0,2,297772.44
2.0,5.0,4.0,1,1,457170.13
9.0,4.0,4.0,0,2,1473802.41
4.0,3.0,1.0,2,0,412345.5
7.0,6.0,4.0,0,1,1223801.72
8.0,1.0,3.0,0,1,287735.88
6.0,6.0,3.0,1,1,1304755.22
8.0,4.0,4.0,1,2,1428032.25
8.0,5.0,3.0,2,1,1871887.47
4.0,7.0,4.0,1,2,1321415.66
7.0,1.0,4.0,2,1,403881.36
2.0,3.0,3.0,0,1,212440.25
8.0,7.0,4.0,0,0,1270921.83
4.0,1.0,2.0,2,0,187453.26
7.0,5.0,1.0,2,0,1121354.53
8.0,1.0,1.0,1,1,331051.47
6.0,2.0,4.0,1,0,412882.77
4.0,5.0,4.0,1,0,561101.68
5.0,7.0,1.0,0,0,762816.26
4.0,5.0,2.0,1,0,535515.28
7.0,7.0,2.0,2,1,2228932.2
9.0,1.0,2.0,1,0,284566.82
2.0,6.0,3.0,2,2,823462.06
6.0,2.0,4.0,0,0,293711.38
7.0,5.0,2.0,2,1,1720989.18
9.0,5.0,3.0,1,1,1715151.47
9.0,1.0,1.0,2,2,624332.5
1.0,6.0,3.0,0,0,156570.01
1.0,6.0,1.0,2,1,283593.01
9.0,4.0,2.0,1,0,913356.77
2.0,6.0,1.0,1,2,640542.92
3.0,4.0,2.0,2,0,428124.89
2.0,3.0,2.0,2,1,338734.01
7.0,7.0,2.0,2,0,1780219.37
1.0,5.0,2.0,0,2,227328.8
5.0,5.0,1.0,1,2,1061808.7
2.0,3.0,4.0,0,2,309920.89
1.0,1.0,4.0,0,2,107240.4
2.0,5.0,4.0,1,0,379894.21
1.0,6.0,2.0,2,0,244719.16
3.0,1.0,3.0,0,2,197560.27
4.0,7.0,2.0,0,1,813766.56
8.0,6.0,2.0,1,0,1093449.8
8.0,2.0,1.0,1,2,697661.66
5.0,5.0,4.0,0,2,878758.89
7.0,2.0,1.0,0,2,525490.17
6.0,2.0,3.0,0,0,266464.75
6.0,1.0,3.0,2,0,302029.66
8.0,5.0,2.0,1,2,1516672.0
6.0,6.0,4.0,1,1,1341593.53
4.0,6.0,4.0,1,0,658491.46
7.0,4.0,3.0,1,2,1430466.02
9.0,7.0,4.0,0,1,1768562.01
6.0,1.0,4.0,0,0,193527.03
2.0,6.0,3.0,2,2,887860.55
3.0,3.0,3.0,1,0,310313.43
7.0,7.0,4.0,1,0,1381668.51
1.0,3.0,2.0,0,2,155188.16
5.0,3.0,3.0,1,0,457981.77
7.0,7.0,2.0,1,0,1233973.09
5.0,7.0,3.0,2,1,1822980.27
9.0,3.0,4.0,0,1,873314.79
2.0,1.0,2.0,2,1,171025.7
7.0,1.0,1.0,0,0,161349.66
5.0,2.0,4.0,1,2,528175.88
5.0,3.0,4.0,0,1,561042.76
3.0,6.0,3.0,1,0,496507.76
8.0,3.0,2.0,0,0,507329.24
6.0,7.0,1.0,1,0,1068702.06
8.0,4.0,4.0,2,2,2212108.17
6.0,4.0,3.0,0,1,626838.26
4.0,3.0,1.0,1,1,382431.09
3.0,2.0,3.0,2,2,488683.89
3.0,3.0,3.0,0,2,378956.73
6.0,7.0,1.0,0,1,1403939.37
8.0,7.0,1.0,2,1,2760698.64
5.0,6.0,2.0,2,2,1972417.53
4.0,1.0,2.0,0,0,95443.17
4.0,5.0,4.0,0,2,728973.13
8.0,5.0,3.0,0,0,839943.09
4.0,2.0,2.0,0,2,381867.0
5.0,5.0,1.0,1,0,741269.26
6.0,6.0,3.0,2,0,1384190.68
8.0,7.0,1.0,2,1,2860381.98
4.0,1.0,4.0,2,2,414573.53
6.0,1.0,3.0,0,0,174581.72
2.0,6.0,3.0,2,0,475432.5
5.0,6.0,2.0,1,2,1324914.55
3.0,6.0,4.0,2,1,845664.44
8.0,7.0,3.0,1,0,1364016.64
6.0,2.0,3.0,0,0,260751.75
2.0,7.0,2.0,2,2,964810.08
7.0,5.0,4.0,1,2,1535859.81
5.0,5.0,1.0,1,0,669531.43
5.0,6.0,4.0,0,1,949288.67
6.0,3.0,4.0,2,0,545224.72
5.0,4.0,1.0,1,0,464550.29
4.0,7.0,1.0,2,1,1336305.65
6.0,7.0,4.0,0,0,810074.49
4.0,4.0,2.0,1,1,558486.57
8.0,3.0,4.0,0,1,754716.08
3.0,1.0,1.0,2,2,219656.78
5.0,7.0,2.0,0,1,971318.57
