roof_type,area_sqm,pitch_angle,location,quality,cost
1,675.5522949780685,19.278385360297325,2,1,2578046.53
1,376.52104862605364,15.548440027892934,1,2,1212472.13
1,687.7434185828263,41.28956791063906,2,1,3115150.43
1,302.79599886728,27.86463151453976,1,0,681978.21
1,296.74241586664436,17.483831412899665,0,0,483130.69
2,609.551826548356,0.0,1,2,3664023.07
2,280.6049665933047,0.0,0,1,1071172.11
1,128.55512529596976,26.994314653534957,2,0,348508.81
2,679.9989428242997,0.0,2,2,4572001.28
0,267.1302392350576,23.840023871571336,1,1,349775.39
0,557.9549472329654,11.673256511453602,0,1,638652.23
2,348.2097150933745,0.0,1,1,1663502.89
0,364.52738583135124,23.674616905236697,1,2,694391.51
2,298.0606439515413,0.0,1,2,1913609.85
0,515.2428377738111,11.855772339371455,0,1,598317.64
1,379.60188230407664,7.3940735694573245,2,0,999075.3
1,451.35235421748143,29.462257331581554,1,2,1446343.28
2,627.3688983334861,0.0,2,2,4303465.87
0,148.1409004880673,38.91151528325442,1,1,238731.81
1,504.91907518278515,39.46292390076523,0,2,1721776.49
2,524.8933467744171,0.0,0,1,2070710.99
0,468.9877091552813,16.842611477208823,2,2,1076072.91
0,406.7489250758947,27.271262299454733,0,1,506867.81
0,595.8318335162949,35.118672305550376,1,2,1344171.3
1,175.89332829403511,21.632130922610877,0,0,338698.42
1,568.5681914262906,43.75441827975119,1,0,1558090.89
1,418.3299014381736,9.10553305491851,2,1,1278940.38
0,674.0377970165601,38.50232935459216,2,0,1143925.69
0,535.8736336783548,8.875772168059278,2,2,1245796.58
0,283.6634384981994,8.182757564384078,2,2,604261.7
1,487.02633830763455,38.21062527172098,1,0,1243882.77
2,46.77980404856075,0.0,1,1,199515.06
1,169.4916976927254,17.09520479962384,0,0,298318.03
0,177.40946497280495,15.950332172446217,2,0,307877.1
2,636.8949753464238,0.0,2,1,3645471.35
1,447.5696340575921,19.75093360069151,0,0,914720.59
2,185.89723656420517,0.0,2,2,1326852.18
2,355.22633641685957,0.0,0,2,1598024.7
0,398.3520855807056,12.63688993271833,0,0,354866.98
0,530.5419835406137,32.39265109189088,2,2,1482017.73
1,579.0110058647809,20.71354021786202,1,1,1577959.69
0,243.19896573533643,11.01667310539268,2,0,350267.67
2,56.89655613791234,0.0,0,2,287671.46
1,259.62904918587753,6.930224126458815,1,2,841355.89
1,42.33060395747712,37.61660265628778,0,0,87468.31
0,383.99038013369335,13.596969431693546,2,0,536220.26
1,398.0407988637973,40.51370737186765,1,1,1269186.55
0,556.7207241932625,7.143438601069363,1,2,846683.45
1,538.3282305586914,23.290505970853523,1,2,1913589.67
2,37.47551020952154,0.0,2,1,205873.0
2,630.7909753303306,0.0,2,1,3406547.68
2,111.45921741817956,0.0,0,0,325949.12
1,501.3767632280633,24.519396341926118,0,0,1014025.27
2,225.6983223752953,0.0,0,0,816221.12
1,249.44824832270848,34.32180245621771,2,1,1069751.94
2,532.6861572434163,0.0,2,0,2670569.08
1,574.9314125585659,36.79054205492665,1,1,1699406.05
0,607.4052068650853,38.03378606926345,1,2,1437269.93
1,91.56129750886112,44.24491364842138,1,0,218855.87
2,349.6075023319393,0.0,1,2,1976501.65
2,570.9222757260718,0.0,0,1,2289718.95
0,378.307746483312,27.726307975815736,1,1,584654.17
0,306.2623908727901,13.086475989075193,2,1,476895.0
0,212.29562383907714,39.857111981542346,0,1,285555.0
2,225.92192380285462,0.0,0,0,713229.15
1,94.96515082626583,20.430348037349873,1,0,213925.31
2,148.74838230246078,0.0,2,0,803026.26
1,553.9271235470061,14.410392079110466,1,2,1689668.14
2,293.05788207702153,0.0,0,2,1228581.29
2,365.5879230993932,0.0,1,0,1484826.66
2,53.7036988153101,0.0,1,1,246245.03
0,55.44221461716254,5.402706629450238,2,0,75885.21
0,382.02542418567475,39.088950948132464,0,2,601617.66
0,277.7263494608229,23.962150947421627,2,0,445300.5
0,687.0396405113653,11.749731130810899,1,1,831186.64
1,638.6170474235173,17.200802844687203,2,2,3020828.06
0,236.75177070684938,8.496886990016685,2,0,358602.13
1,234.21771658095787,13.530935095820404,2,1,856385.95
1,44.7202588116285,25.36050740537835,2,0,149036.04
1,647.8966657072258,32.14649838028195,0,2,1872064.23
1,656.6703074349907,43.03280649591127,1,1,1932849.18
0,402.5115249844159,44.891752839123725,1,2,916434.78
2,172.24399986249347,0.0,2,0,915298.94
1,591.9098662389191,12.265112927772503,2,2,2966234.79
2,74.21535330205833,0.0,1,2,400577.49
1,511.034141003612,41.379783684006675,1,1,1724314.69
1,481.35816240475106,23.89112819142477,1,2,1709157.05
2,436.64944582384516,0.0,1,2,2499668.28
1,243.35484305595435,14.439284784995138,0,1,463400.84
1,534.9090855484121,5.651209702408795,1,2,1696745.44
1,133.69831654320848,17.74249534025586,1,0,303942.73
1,402.9863941971761,33.312909109552166,0,2,1314906.84
2,48.155939381846295,0.0,0,1,182067.93
0,549.7901305301358,39.69240711720168,1,1,1017228.72
1,575.5863980984111,16.095312492163107,0,2,1621288.78
1,109.08998554760555,9.26758775694639,2,0,265743.15
1,249.07781042187062,9.295268353066124,1,0,452284.44
0,323.5800060615845,17.36281506771607,2,1,642840.61
1,74.65597092590325,24.581423342785968,1,1,228607.24
2,403.6353482220003,0.0,2,1,2130139.88
2,609.4421661339472,0.0,2,0,2836799.12
1,264.49048520833946,44.25460758338346,1,0,755556.56
1,682.5737502271807,40.15632774151054,0,0,1354638.26
1,518.106859504504,20.471768563007636,2,0,1879870.69
0,26.385131907178433,34.161166807922584,1,2,61730.5
1,648.6856194673076,35.72094085306312,2,1,2398768.92
2,115.64776356884592,0.0,0,0,365827.36
1,316.630334348215,33.31514346598667,2,1,1117451.75
1,252.53020654866958,42.81202327441011,2,0,906160.76
0,416.65300720866264,10.079377002569503,0,1,498764.94
0,316.2784557649204,7.692136479836935,2,2,645280.84
2,629.1008045182283,0.0,0,1,1979920.75
2,552.5821666443737,0.0,0,0,1616923.03
0,378.38482335640185,34.580941776811954,0,2,651885.95
1,30.465938202786923,35.44342971905127,2,2,139334.44
1,339.57978084665774,25.551170400341157,1,0,860971.13
1,43.92848202629331,35.036617419302324,0,2,136766.71
2,607.0879528132061,0.0,2,2,5018513.72
0,581.5612320622647,12.599906660967765,0,0,532191.01
0,122.05570454153292,12.861192163508317,0,1,139928.47
0,349.4020764931482,20.511473501618816,0,0,345019.73
1,524.0220626854482,10.154763916661501,2,1,1587428.87
0,417.9836457393687,33.483017961724066,0,0,438019.53
1,462.7031796810827,10.603568350933337,1,1,1156345.03
2,356.1779266454226,0.0,2,0,1471673.45
2,657.7975343447397,0.0,1,0,2743319.48
