area_sqm,tile_size,location,quality,cost
858.0341682922115,2,2,0,941157.73
1051.40599932775,1,1,1,629918.57
516.3600306814403,0,1,0,185725.43
319.0459731742346,2,0,2,310185.27
400.1799198760255,2,1,2,481769.31
313.32128519278086,2,1,1,287491.41
1161.8597159871758,1,1,2,878917.59
1126.7679840287453,1,1,1,773404.29
252.6101004988939,1,2,0,180674.67
544.5487820062217,0,0,2,261605.26
126.1639905956736,2,0,0,91014.5
180.02007418851576,0,2,0,94086.63
791.6893431540861,1,1,2,686551.04
894.9967415889903,0,0,2,396160.22
500.7711853618455,1,1,0,278583.58
410.2595456235796,0,2,0,223203.95
85.46319271381584,0,1,0,30967.29
402.8037819522201,1,1,0,212081.05
591.0399471537329,1,2,0,444516.46
1071.1677432738024,2,2,0,971283.51
631.8142323808457,0,1,1,294974.17
1179.5819407320037,1,2,2,1267501.25
316.89692452959457,0,2,1,180077.14
431.31828450124425,0,2,0,226612.34
959.9199211832774,2,1,0,770354.94
612.0554665710661,0,0,2,279940.2
390.27302855683325,0,1,0,161703.87
988.3440814192263,2,0,0,710863.1
592.8730582910615,2,1,0,506458.93
1085.082570759363,0,0,1,388501.41
1042.97182298719,1,2,1,881435.07
650.609827457315,2,2,1,793384.54
265.81174212781445,1,0,0,124397.12
403.65578179277094,0,2,2,296394.61
606.1072730277717,0,2,1,309482.58
1060.563016332039,0,1,2,648273.63
535.5060071468936,0,0,0,182180.2
1033.4935427326982,1,1,0,582319.63
26.289297065780286,2,1,2,30441.02
88.65571086516134,0,2,0,39796.02
733.6778087243187,0,2,0,389508.81
953.6183106251282,2,1,0,774965.23
880.8608853855283,0,2,0,430102.44
322.2090630199161,1,1,2,252348.56
1144.6013420835595,0,1,2,669191.57
195.55885389627232,2,0,1,146243.47
1179.2127649031709,0,1,0,462267.28
56.24012018036949,0,0,0,16128.36
655.5236182853648,0,2,1,328559.67
815.5072833595254,1,0,2,522385.39
808.4248778156731,0,1,2,478400.28
141.56741630531147,2,0,2,157045.24
296.08338514021483,2,2,1,398466.41
340.77766193645687,2,1,1,317668.47
